season,team,offenseive_dvoa,pass_dvoa,rush_dvoa,non_adjusted_dvoa,non_adjusted_pass_dvoa,non_adjusted_rush_dvoa
2018,KC,0.342,0.6,0.109,0.331,0.602,0.122
2018,LAR,0.246,0.321,0.221,0.241,0.323,0.209
2018,LAC,0.208,0.417,0.041,0.212,0.398,0.074
2018,NO,0.159,0.344,0.033,0.175,0.367,0.043
2018,NE,0.145,0.329,0.025,0.139,0.324,0.0
2018,PIT,0.138,0.255,-0.023,0.129,0.224,0.008
2018,GB,0.1,0.2,0.124,0.089,0.138,0.139
2018,ATL,0.089,0.267,-0.106,0.117,0.295,-0.075
2018,SEA,0.088,0.274,0.041,0.1,0.322,0.044
2018,IND,0.082,0.213,-0.032,0.079,0.219,-0.051
2018,CAR,0.061,0.092,0.129,0.107,0.163,0.147
2018,TB,0.059,0.234,-0.112,0.049,0.234,-0.136
2018,NYG,0.013,0.151,-0.067,-0.012,0.138,-0.1
2018,DEN,0.011,0.004,0.076,0.033,0.025,0.101
2018,BAL,0.009,0.157,-0.019,0.023,0.133,0.031
2018,PHI,-0.003,0.181,-0.135,0.008,0.191,-0.123
2018,MIN,-0.014,0.133,-0.163,-0.056,0.092,-0.208
2018,CLE,-0.014,0.073,-0.065,0.0,0.083,-0.021
2018,CIN,-0.033,0.095,-0.036,-0.026,0.099,-0.023
2018,CHI,-0.034,0.074,-0.058,0.003,0.121,-0.032
2018,HOU,-0.036,0.178,-0.1,-0.032,0.174,-0.118
2018,TEN,-0.052,-0.002,-0.024,-0.063,0.018,-0.063
2018,DET,-0.052,0.038,-0.1,-0.072,0.005,-0.122
2018,DAL,-0.065,-0.009,-0.068,-0.034,0.001,-0.0
2018,OAK,-0.071,0.1,-0.165,-0.095,0.082,-0.173
2018,MIA,-0.089,-0.038,-0.044,-0.143,-0.106,-0.083
2018,SF,-0.149,0.036,-0.223,-0.144,0.022,-0.196
2018,WAS,-0.194,-0.194,-0.071,-0.154,-0.116,-0.072
2018,NYJ,-0.196,-0.083,-0.206,-0.227,-0.099,-0.259
2018,JAX,-0.2,-0.243,-0.106,-0.218,-0.209,-0.144
2018,BUF,-0.278,-0.362,-0.113,-0.3,-0.372,-0.108
2018,ARI,-0.409,-0.465,-0.214,-0.4,-0.466,-0.2
2017,NE,0.273,0.5,0.104,0.294,0.493,0.122
2017,NO,0.216,0.333,0.1,0.213,0.332,0.115
2017,PIT,0.176,0.3,0.0,0.196,0.383,0.021
2017,KC,0.159,0.306,0.088,0.2,0.351,0.078
2017,MIN,0.1,0.364,-0.077,0.115,0.356,-0.1
2017,LARM,0.111,0.314,0.003,0.097,0.304,-0.016
2017,LACH,0.106,0.408,-0.158,0.156,0.479,-0.133
2017,PHI,0.101,0.3,-0.059,0.105,0.331,-0.052
2017,ATL,0.081,0.278,-0.062,0.084,0.266,-0.042
2017,DAL,0.065,0.054,0.118,0.056,0.032,0.121
2017,TB,0.052,0.283,-0.144,0.0,0.207,-0.139
2017,DET,0.044,0.231,-0.202,0.009,0.195,-0.234
2017,OAK,0.0,0.207,-0.055,0.034,0.198,-0.058
2017,SEA,0.0,0.211,-0.121,0.028,0.222,-0.114
2017,GB,0.003,-0.019,0.106,-0.028,-0.1,0.089
2017,JAC,-0.003,0.133,-0.1,0.037,0.215,-0.049
2017,CAR,-0.005,0.069,-0.022,0.009,0.113,-0.035
2017,TEN,-0.022,0.022,0.0,-0.033,0.015,-0.005
2017,SF,-0.0,0.088,-0.1,-0.068,0.015,-0.043
2017,WAS,-0.031,0.139,-0.162,-0.048,0.115,-0.2
2017,BAL,-0.045,-0.049,0.024,-0.006,0.052,-0.005
2017,CIN,-0.065,0.013,-0.103,-0.096,-0.016,-0.137
2017,NYG,-0.091,0.021,-0.165,-0.094,-0.008,-0.131
2017,HOU,-0.099,-0.004,-0.112,-0.098,-0.016,-0.097
2017,NYJ,-0.103,0.0,-0.144,-0.091,0.006,-0.124
2017,BUF,-0.111,-0.095,-0.079,-0.073,-0.042,-0.054
2017,MIA,-0.131,-0.003,-0.205,-0.096,0.063,-0.215
2017,CHI,-0.151,-0.1,-0.068,-0.159,-0.125,-0.089
2017,IND,-0.178,-0.148,-0.123,-0.187,-0.174,-0.114
2017,ARI,-0.2,-0.067,-0.256,-0.156,-0.041,-0.234
2017,DEN,-0.2,-0.2,-0.119,-0.153,-0.152,-0.071
2017,CLE,-0.201,-0.305,0.008,-0.229,-0.359,0.016
2016,ATL,0.246,0.508,0.036,0.234,0.473,0.053
2016,NE,0.208,0.496,-0.022,0.224,0.518,-0.012
2016,DAL,0.199,0.382,0.115,0.189,0.334,0.139
2016,GB,0.166,0.313,0.044,0.169,0.333,0.0
2016,WAS,0.158,0.344,0.045,0.143,0.343,0.009
2016,NO,0.154,0.319,0.054,0.134,0.293,0.042
2016,PIT,0.125,0.293,0.023,0.163,0.327,0.066
2016,OAK,0.122,0.358,-0.023,0.099,0.291,0.009
2016,TEN,0.108,0.283,0.017,0.122,0.3,0.068
2016,BUF,0.107,0.092,0.2,0.122,0.135,0.162
2016,CIN,0.075,0.208,0.003,0.065,0.195,-0.007
2016,IND,0.037,0.136,0.012,0.014,0.122,-0.026
2016,KC,0.029,0.212,-0.079,0.005,0.176,-0.088
2016,MIA,0.018,0.141,-0.039,0.042,0.198,-0.1
2016,DET,-0.006,0.2,-0.168,-0.013,0.159,-0.186
2016,SEA,-0.026,0.148,-0.113,0.005,0.197,-0.106
2016,CHI,-0.0,0.1,-0.0,-0.0,0.1,-0.0
2016,SD,-0.0,0.1,-0.1,-0.0,0.1,-0.1
2016,TB,-0.0,0.2,-0.2,-0.1,0.2,-0.2
2016,PHI,-0.1,0.0,0.0,-0.0,0.1,-0.0
2016,ARI,-0.1,-0.0,0.0,-0.0,0.0,-0.0
2016,NYG,-0.1,0.1,-0.2,-0.1,0.1,-0.2
2016,SF,-0.1,-0.1,0.0,-0.1,-0.1,-0.1
2016,BAL,-0.1,-0.0,-0.1,-0.0,0.0,-0.0
2016,CAR,-0.1,0.0,-0.1,-0.1,-0.0,-0.1
2016,MIN,-0.1,0.1,-0.2,-0.1,0.1,-0.3
2016,JAC,-0.1,0.0,-0.2,-0.1,0.0,-0.2
2016,DEN,-0.1,0.0,-0.2,-0.1,0.0,-0.2
2016,CLE,-0.1,-0.1,0.0,-0.2,-0.1,-0.0
2016,HOU,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1
2016,NYJ,-0.2,-0.3,-0.1,-0.2,-0.2,-0.1
2016,LARM,-0.4,-0.4,-0.3,-0.4,-0.3,-0.3
2015,SEA,0.187,0.441,0.076,0.159,0.413,0.048
2015,CIN,0.186,0.483,0.005,0.156,0.449,-0.025
2015,PIT,0.173,0.318,0.075,0.162,0.289,0.089
2015,ARI,0.157,0.423,-0.1,0.2,0.429,-0.057
2015,NE,0.154,0.358,-0.061,0.172,0.367,-0.029
2015,KC,0.117,0.181,0.1,0.111,0.144,0.165
2015,NO,0.105,0.301,-0.071,0.097,0.282,-0.065
2015,CAR,0.101,0.2,0.038,0.124,0.295,0.035
2015,BUF,0.098,0.205,0.087,0.1,0.252,0.1
2015,CHI,0.069,0.187,0.047,0.032,0.131,0.028
2015,GB,0.022,0.138,-0.057,0.008,0.107,-0.1
2015,WAS,0.019,0.314,-0.235,0.068,0.371,-0.192
2015,DET,0.018,0.174,-0.167,-0.016,0.105,-0.142
2015,NYJ,0.016,0.213,-0.109,0.065,0.3,-0.067
